5400
         (-13.00, -7.00, -0.32) (0.10, 0.34, 0.34) (0.00, 0.00) 
         (-14.00, -7.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-13.00, -7.00, -0.32) (0.10, 0.34, 0.34) (0.00, 0.00) 
         (-14.00, -6.00, -0.19) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-14.00, -6.00, -0.19) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-13.00, -7.00, -0.32) (0.10, 0.34, 0.34) (0.00, 0.00) 
         (-13.00, -6.00, -0.15) (0.10, 0.43, 0.43) (0.00, 0.00) 
         (-14.00, -6.00, -0.19) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-13.00, -6.00, -0.15) (0.10, 0.43, 0.43) (0.00, 0.00) 
         (-14.00, -5.00, -0.17) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, -5.00, -0.17) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-13.00, -6.00, -0.15) (0.10, 0.43, 0.43) (0.00, 0.00) 
         (-13.00, -5.00, -0.03) (0.10, 0.49, 0.49) (0.00, 0.00) 
         (-14.00, -5.00, -0.17) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-13.00, -5.00, -0.03) (0.10, 0.49, 0.49) (0.00, 0.00) 
         (-14.00, -4.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, -4.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-13.00, -5.00, -0.03) (0.10, 0.49, 0.49) (0.00, 0.00) 
         (-13.00, -4.00, -0.06) (0.10, 0.47, 0.47) (0.00, 0.00) 
         (-14.00, -4.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-13.00, -4.00, -0.06) (0.10, 0.47, 0.47) (0.00, 0.00) 
         (-14.00, -3.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-14.00, -3.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-13.00, -4.00, -0.06) (0.10, 0.47, 0.47) (0.00, 0.00) 
         (-13.00, -3.00, -0.23) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, -3.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-13.00, -3.00, -0.23) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, -2.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, -2.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-13.00, -3.00, -0.23) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-13.00, -2.00, -0.37) (0.10, 0.32, 0.32) (0.00, 0.00) 
         (-14.00, -2.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-13.00, -2.00, -0.37) (0.10, 0.32, 0.32) (0.00, 0.00) 
         (-14.00, -1.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, -1.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-13.00, -2.00, -0.37) (0.10, 0.32, 0.32) (0.00, 0.00) 
         (-13.00, -1.00, -0.35) (0.10, 0.32, 0.32) (0.00, 0.00) 
         (-14.00, -1.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-13.00, -1.00, -0.35) (0.10, 0.32, 0.32) (0.00, 0.00) 
         (-14.00, 0.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-14.00, 0.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-13.00, -1.00, -0.35) (0.10, 0.32, 0.32) (0.00, 0.00) 
         (-13.00, 0.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-14.00, 0.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-13.00, 0.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-14.00, 1.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, 1.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-13.00, 0.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-13.00, 1.00, -0.05) (0.10, 0.48, 0.48) (0.00, 0.00) 
         (-14.00, 1.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-13.00, 1.00, -0.05) (0.10, 0.48, 0.48) (0.00, 0.00) 
         (-14.00, 2.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, 2.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-13.00, 1.00, -0.05) (0.10, 0.48, 0.48) (0.00, 0.00) 
         (-13.00, 2.00, -0.03) (0.10, 0.48, 0.48) (0.00, 0.00) 
         (-14.00, 2.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-13.00, 2.00, -0.03) (0.10, 0.48, 0.48) (0.00, 0.00) 
         (-14.00, 3.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-14.00, 3.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-13.00, 2.00, -0.03) (0.10, 0.48, 0.48) (0.00, 0.00) 
         (-13.00, 3.00, -0.17) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, 3.00, -0.20) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-13.00, 3.00, -0.17) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, 4.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, 4.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-13.00, 3.00, -0.17) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-13.00, 4.00, -0.34) (0.10, 0.33, 0.33) (0.00, 0.00) 
         (-14.00, 4.00, -0.22) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-13.00, 4.00, -0.34) (0.10, 0.33, 0.33) (0.00, 0.00) 
         (-14.00, 5.00, -0.23) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-14.00, 5.00, -0.23) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-13.00, 4.00, -0.34) (0.10, 0.33, 0.33) (0.00, 0.00) 
         (-13.00, 5.00, -0.37) (0.10, 0.31, 0.31) (0.00, 0.00) 
         (-14.00, 5.00, -0.23) (0.10, 0.39, 0.39) (0.00, 0.00) 
         (-13.00, 5.00, -0.37) (0.10, 0.31, 0.31) (0.00, 0.00) 
         (-14.00, 6.00, -0.21) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-14.00, 6.00, -0.21) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-13.00, 5.00, -0.37) (0.10, 0.31, 0.31) (0.00, 0.00) 
         (-13.00, 6.00, -0.25) (0.10, 0.37, 0.37) (0.00, 0.00) 
         (-14.00, 6.00, -0.21) (0.10, 0.40, 0.40) (0.00, 0.00) 
         (-13.00, 6.00, -0.25) (0.10, 0.37, 0.37) (0.00, 0.00) 
         (-14.00, 7.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, 7.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-13.00, 6.00, -0.25) (0.10, 0.37, 0.37) (0.00, 0.00) 
         (-13.00, 7.00, -0.08) (0.10, 0.46, 0.46) (0.00, 0.00) 
         (-14.00, 7.00, -0.18) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-13.00, 7.00, -0.08) (0.10, 0.46, 0.46) (0.00, 0.00) 
         (-14.00, 8.00, -0.17) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-14.00, 8.00, -0.17) (0.10, 0.41, 0.41) (0.00, 0.00) 
         (-13.00, 7.00, -0.08) (0.10, 0.46, 0.46) (0.00, 0.00) 
