2400
(-4.000000, 2.500000, 0.652006) (-4.500000, 2.500000, 0.652006) (0.000000, 1.000000) 
(-4.000000, 3.000000, 0.550022) (-4.500000, 2.500000, 0.550022) (0.000000, 1.000000) 
(-4.500000, 3.000000, 0.210268) (-4.500000, 3.000000, 0.210268) (0.000000, 1.000000) 
(-4.000000, 3.000000, 0.550022) (-4.500000, 3.000000, 0.550022) (0.000000, 1.000000) 
(-4.500000, 3.500000, 0.177379) (-4.500000, 3.000000, 0.177379) (0.000000, 1.000000) 
(-4.500000, 3.500000, 0.177379) (-4.500000, 3.000000, 0.177379) (0.000000, 1.000000) 
(-4.000000, 3.000000, 0.550022) (-4.500000, 3.000000, 0.550022) (0.000000, 1.000000) 
(-4.000000, 3.500000, 0.313373) (-4.500000, 3.000000, 0.313373) (0.000000, 1.000000) 
(-4.500000, 3.500000, 0.177379) (-4.500000, 3.500000, 0.177379) (0.000000, 1.000000) 
(-4.000000, 3.500000, 0.313373) (-4.500000, 3.500000, 0.313373) (0.000000, 1.000000) 
(-4.500000, 4.000000, 0.101061) (-4.500000, 3.500000, 0.101061) (0.000000, 1.000000) 
(-4.500000, 4.000000, 0.101061) (-4.500000, 3.500000, 0.101061) (0.000000, 1.000000) 
(-4.000000, 3.500000, 0.313373) (-4.500000, 3.500000, 0.313373) (0.000000, 1.000000) 
(-4.000000, 4.000000, -0.000000) (-4.500000, 3.500000, -0.000000) (0.000000, 1.000000) 
(-4.500000, 4.000000, 0.101061) (-4.500000, 4.000000, 0.101061) (0.000000, 1.000000) 
(-4.000000, 4.000000, -0.000000) (-4.500000, 4.000000, -0.000000) (0.000000, 1.000000) 
(-4.500000, 4.500000, -0.000000) (-4.500000, 4.000000, -0.000000) (0.000000, 1.000000) 
(-4.500000, 4.500000, -0.000000) (-4.500000, 4.000000, -0.000000) (0.000000, 1.000000) 
(-4.000000, 4.000000, -0.000000) (-4.500000, 4.000000, -0.000000) (0.000000, 1.000000) 
(-4.000000, 4.500000, -0.313373) (-4.500000, 4.000000, -0.313373) (0.000000, 1.000000) 
(-4.500000, 4.500000, -0.000000) (-4.500000, 4.500000, -0.000000) (0.000000, 1.000000) 
(-4.000000, 4.500000, -0.313373) (-4.500000, 4.500000, -0.313373) (0.000000, 1.000000) 
(-4.500000, 5.000000, -0.101061) (-4.500000, 4.500000, -0.101061) (0.000000, 1.000000) 
(-4.500000, 5.000000, -0.101061) (-4.500000, 4.500000, -0.101061) (0.000000, 1.000000) 
(-4.000000, 4.500000, -0.313373) (-4.500000, 4.500000, -0.313373) (0.000000, 1.000000) 
(-4.000000, 5.000000, -0.550022) (-4.500000, 4.500000, -0.550022) (0.000000, 1.000000) 
(-4.000000, -5.000000, 0.269379) (-4.000000, -5.000000, 0.269379) (0.000000, 1.000000) 
(-3.500000, -5.000000, 0.747749) (-4.000000, -5.000000, 0.747749) (0.000000, 1.000000) 
(-4.000000, -4.500000, 0.521926) (-4.000000, -5.000000, 0.521926) (0.000000, 1.000000) 
(-4.000000, -4.500000, 0.521926) (-4.000000, -5.000000, 0.521926) (0.000000, 1.000000) 
(-3.500000, -5.000000, 0.747749) (-4.000000, -5.000000, 0.747749) (0.000000, 1.000000) 
(-3.500000, -4.500000, 0.926491) (-4.000000, -5.000000, 0.926491) (0.000000, 1.000000) 
(-4.000000, -4.500000, 0.521926) (-4.000000, -4.500000, 0.521926) (0.000000, 1.000000) 
(-3.500000, -4.500000, 0.926491) (-4.000000, -4.500000, 0.926491) (0.000000, 1.000000) 
(-4.000000, -4.000000, 0.646688) (-4.000000, -4.500000, 0.646688) (0.000000, 1.000000) 
(-4.000000, -4.000000, 0.646688) (-4.000000, -4.500000, 0.646688) (0.000000, 1.000000) 
(-3.500000, -4.500000, 0.926491) (-4.000000, -4.500000, 0.926491) (0.000000, 1.000000) 
(-3.500000, -4.000000, 0.878396) (-4.000000, -4.500000, 0.878396) (0.000000, 1.000000) 
(-4.000000, -4.000000, 0.646688) (-4.000000, -4.000000, 0.646688) (0.000000, 1.000000) 
(-3.500000, -4.000000, 0.878396) (-4.000000, -4.000000, 0.878396) (0.000000, 1.000000) 
(-4.000000, -3.500000, 0.613118) (-4.000000, -4.000000, 0.613118) (0.000000, 1.000000) 
(-4.000000, -3.500000, 0.613118) (-4.000000, -4.000000, 0.613118) (0.000000, 1.000000) 
(-3.500000, -4.000000, 0.878396) (-4.000000, -4.000000, 0.878396) (0.000000, 1.000000) 
(-3.500000, -3.500000, 0.615240) (-4.000000, -4.000000, 0.615240) (0.000000, 1.000000) 
(-4.000000, -3.500000, 0.613118) (-4.000000, -3.500000, 0.613118) (0.000000, 1.000000) 
(-3.500000, -3.500000, 0.615240) (-4.000000, -3.500000, 0.615240) (0.000000, 1.000000) 
(-4.000000, -3.000000, 0.429435) (-4.000000, -3.500000, 0.429435) (0.000000, 1.000000) 
(-4.000000, -3.000000, 0.429435) (-4.000000, -3.500000, 0.429435) (0.000000, 1.000000) 
(-3.500000, -3.500000, 0.615240) (-4.000000, -3.500000, 0.615240) (0.000000, 1.000000) 
(-3.500000, -3.000000, 0.201451) (-4.000000, -3.500000, 0.201451) (0.000000, 1.000000) 
(-4.000000, -3.000000, 0.429435) (-4.000000, -3.000000, 0.429435) (0.000000, 1.000000) 
